frozenset({'Turchi Marco', 'Gaido Marco'}) 12
frozenset({'Negri Matteo', 'Bentivogli Luisa'}) 13
frozenset({'Turchi Marco', 'Bentivogli Luisa'}) 10
frozenset({'Guo Xiaoxiao', 'Yu Mo'}) 16
frozenset({'Smith Noah A.', 'Schwartz Roy'}) 18
frozenset({'Neubig Graham', 'Rijhwani Shruti'}) 11
frozenset({'Frank Anette', 'Opitz Juri'}) 11
frozenset({'Ouchi Hiroki', 'Inui Kentaro'}) 13
frozenset({'Suzuki Jun', 'Inui Kentaro'}) 27
frozenset({'Inui Kentaro', 'Kobayashi Sosuke'}) 10
frozenset({'Yokoi Sho', 'Inui Kentaro'}) 10
frozenset({'Inui Kentaro', 'Kuribayashi Tatsuki'}) 12
frozenset({'Chersoni Emmanuele', 'Lenci Alessro'}) 15
frozenset({'Chersoni Emmanuele', 'Blache Philippe'}) 10
frozenset({'Santus Enrico', 'Lenci Alessro'}) 15
frozenset({'Blache Philippe', 'Lenci Alessro'}) 10
frozenset({'Shwartz Vered', 'Dagan Ido'}) 15
frozenset({'Stanovsky Gabriel', 'Dagan Ido'}) 17
frozenset({'Eger Steffen', 'Zhao Wei'}) 11
frozenset({'Augenstein Isabelle', 'Bjerva Johannes'}) 15
frozenset({'Barrett Maria', 'S{\\o}gaard Anders'}) 14
frozenset({'Goldberger Jacob', 'Dagan Ido'}) 20
frozenset({'Cui Yiming', 'Liu Ting'}) 17
frozenset({'Cui Yiming', 'Wang Shijin'}) 18
frozenset({'Cui Yiming', 'Hu Guoping'}) 14
frozenset({'Che Wanxiang', 'Liu Ting'}) 77
frozenset({'Wang Shijin', 'Che Wanxiang'}) 10
frozenset({'Wang Shijin', 'Liu Ting'}) 20
frozenset({'Hu Guoping', 'Liu Ting'}) 20
frozenset({'Wang Shijin', 'Hu Guoping'}) 18
frozenset({'Ravi Sujith', 'Kozareva Zornitsa'}) 13
frozenset({'Koller Alexer', 'Groschwitz Jonas'}) 11
frozenset({'Fohr Dominique', 'Illina Irina'}) 10
frozenset({'Gonzalez-Hernez Graciela', 'Weissenbacher Davy'}) 10
frozenset({'Chen Yubo', 'Liu Kang'}) 32
frozenset({'Chen Yubo', 'Zhao Jun'}) 35
frozenset({'Liu Kang', 'Zhao Jun'}) 75
frozenset({'Liu Kang', 'Liu Shengping'}) 10
frozenset({'Zhao Jun', 'Liu Shengping'}) 10
frozenset({'McCrae John P.', 'Chakravarthi Bharathi Raja'}) 10
frozenset({'Cotterell Ryan', 'Vylomova Ekaterina'}) 13
frozenset({'Silfverberg Miikka', 'Nicolai Garrett'}) 10
frozenset({'Silfverberg Miikka', 'Hulden Mans'}) 17
frozenset({'Cotterell Ryan', 'Pimentel Tiago'}) 21
frozenset({'Cotterell Ryan', 'Mielke Sabrina J.'}) 12
frozenset({'Habash Nizar', 'Khalifa Salam'}) 16
frozenset({'Cotterell Ryan', 'Hulden Mans'}) 10
